state,population,density,emergency,quarantine,gatherings,travel,school ,daycares,restauraunts,retail,party
AK,731545,1,10,27,10,3,3,3,3,3,-1
AL,4903185,95,12,34,10,1,3,3,3,3,-1
AR,3017804,57,10,50,10,1,3,3,3,1,-1
AZ,7278717,60,10,30,50,2,3,3,3,3,-1
CA,39512223,251,3,18,1,1,3,3,3,3,1
CO,5758736,52,9,25,10,1,3,2,3,3,1
CT,3565287,741,9,22,1,1,3,3,3,3,1
DE,973764,485,11,23,1,3,3,3,3,3,1
FL,21477737,378,0,33,10,2,3,3,3,3,-1
GA,10617423,177,13,33,10,1,3,1,3,3,-1
HI,1415872,222,3,24,11,3,3,3,3,3,1
IA,3155070,55,8,50,10,1,3,3,3,3,-1
ID,1787065,20,12,24,1,3,3,3,3,2,-1
IL,12671821,231,8,20,1,1,3,3,3,3,1
IN,6732219,184,5,24,11,1,3,3,3,3,-1
KS,2913314,36,8,29,10,2,3,1,3,3,1
KY,4467673,112,5,25,10,3,3,3,3,3,1
LA,4648794,108,10,22,11,1,3,3,3,3,1
MA,6892503,871,9,23,11,3,3,3,3,3,-1
MD,6045680,618,4,29,10,3,3,3,3,3,-1
ME,1344212,43,14,32,10,3,3,3,3,2,1
MI,9986857,175,10,23,1,1,3,3,3,3,1
MN,5639632,68,12,26,1,1,3,3,3,3,1
MO,6137428,88,12,36,10,1,3,1,3,3,-1
MS,2976149,63,3,33,1,1,3,1,3,3,-1
MT,1068778,7,11,27,10,3,3,3,3,3,1
NC,10488084,206,9,29,10,1,3,3,3,3,1
ND,762062,10,12,50,50,3,3,3,3,3,-1
NE,1934408,24,12,50,10,2,3,2,2,1,-1
NH,1359711,148,12,26,50,3,3,3,3,3,-1
NJ,8882190,1218,8,20,1,1,3,3,3,3,1
NM,2096829,17,10,23,6,3,3,3,3,3,1
NV,3080156,26,11,31,10,3,3,3,3,3,1
NY,19453561,420,6,21,1,1,3,3,3,3,1
OH,11689100,284,8,22,1,3,3,2,3,3,-1
OK,3956971,57,14,32,11,2,3,3,3,3,-1
OR,4217737,41,7,22,1,1,3,3,3,2,1
PA,12801989,286,5,31,10,2,3,3,3,3,1
RI,1059361,1021,8,27,25,3,3,3,3,3,1
SC,5148714,162,12,37,50,2,3,3,3,3,-1
SD,884659,11,12,50,50,1,3,3,1,1,-1
TN,6829174,160,11,32,10,1,3,3,3,3,-1
TX,28995881,105,12,32,10,2,3,3,3,3,-1
UT,3205958,36,5,50,10,1,3,3,3,1,-1
VA,623989,67,15,24,10,3,3,3,3,3,-1
VT,8535519,212,11,29,10,1,3,3,3,2,1
WA,7614893,107,-1,22,1,1,3,3,3,3,1
WI,5822434,106,11,24,1,3,3,2,3,3,1
WV,1792147,76,3,22,1,1,3,3,3,3,-1
WY,578759,6,11,50,10,3,3,3,3,1,-1
DC,705749,11011,10,29,10,1,3,3,3,3,0