date,state,positive,negative,tests
20200507,AK,374,23967,24341
20200507,AL,8898,106275,115173
20200507,AR,3611,56384,59995
20200507,AS,0,83,83
20200507,AZ,9945,101141,111086
20200507,CA,60614,782260,842874
20200507,CO,17830,73517,91347
20200507,CT,31784,84390,116174
20200507,DC,5654,20202,25856
20200507,DE,5939,21387,27326
20200507,FL,38828,454122,492950
20200507,GA,31439,185864,217303
20200507,GU,151,3564,3715
20200507,HI,626,34915,35541
20200507,IA,11059,55368,66427
20200507,ID,2158,28732,30890
20200507,IL,70873,308170,379043
20200507,IN,22503,102279,124782
20200507,KS,6144,38678,44822
20200507,KY,5934,72672,78606
20200507,LA,30652,170115,200767
20200507,MA,73721,277911,351632
20200507,MD,29374,119226,148600
20200507,ME,1330,22092,23422
20200507,MI,45646,201416,247062
20200507,MN,9365,88056,97421
20200507,MO,9341,94281,103622
20200507,MP,15,1783,1798
20200507,MS,8686,72101,80787
20200507,MT,456,19791,20247
20200507,NC,13397,157931,171328
20200507,ND,1371,39496,40867
20200507,NE,6771,30987,37758
20200507,NH,2740,26066,28806
20200507,NJ,133635,159023,292658
20200507,NM,4291,81393,85684
20200507,NV,5766,45591,51357
20200507,NY,327649,762267,1089916
20200507,OH,22131,153928,176059
20200507,OK,4330,82557,86887
20200507,OR,2989,67469,70458
20200507,PA,52915,209873,262788
20200507,PR,2031,,2031
20200507,RI,10530,71788,82318
20200507,SC,6936,70546,77482
20200507,SD,2905,17209,20114
20200507,TN,14096,222232,236328
20200507,TX,35390,419772,455162
20200507,UT,5724,128819,134543
20200507,VA,21570,101582,123152
20200507,VI,66,990,1056
20200507,VT,916,17535,18451
20200507,WA,15905,208908,224813
20200507,WI,9215,93035,102250
20200507,WV,1287,56234,57521
20200507,WY,631,11403,12034
20200506,AK,372,23283,23655
20200506,AL,8581,100935,109516
20200506,AR,3568,55435,59003
20200506,AS,0,83,83
20200506,AZ,9707,82030,91737
20200506,CA,58815,750221,809036
20200506,CO,17364,68612,85976
20200506,CT,30995,80452,111447
20200506,DC,5461,19523,24984
20200506,DE,5778,20690,26468
20200506,FL,38002,442049,480051
20200506,GA,30696,173441,204137
20200506,GU,151,3476,3627
20200506,HI,625,34574,35199
20200506,IA,10404,52767,63171
20200506,ID,2127,28418,30545
20200506,IL,68232,293028,361260
20200506,IN,21870,98626,120496
20200506,KS,5734,36380,42114
20200506,KY,5822,55192,61014
20200506,LA,30399,164273,194672
20200506,MA,72025,267614,339639
20200506,MD,28163,115849,144012
20200506,ME,1254,22092,23346
20200506,MI,45054,188177,233231
20200506,MN,8579,84653,93232
20200506,MO,9102,91645,100747
20200506,MP,15,1783,1798
20200506,MS,8424,72101,80525
20200506,MT,456,19248,19704
20200506,NC,12758,151724,164482
20200506,ND,1323,37309,38632
20200506,NE,6438,29690,36128
20200506,NH,2636,25097,27733
20200506,NJ,131890,157030,288920
20200506,NM,4138,79113,83251
20200506,NV,5663,43612,49275
20200506,NY,323978,731943,1055921
20200506,OH,21576,147353,168929
20200506,OK,4201,78689,82890
20200506,OR,2916,65060,67976
20200506,PA,51845,204495,256340
20200506,PR,1968,,1968
20200506,RI,10205,69168,79373
20200506,SC,6936,70546,77482
20200506,SD,2779,16637,19416
20200506,TN,13938,213163,227101
20200506,TX,34422,404516,438938
20200506,UT,5595,125407,131002
20200506,VA,20256,93452,113708
20200506,VI,66,990,1056
20200506,VT,908,16968,17876
20200506,WA,15594,203859,219453
20200506,WI,8901,87826,96727
20200506,WV,1248,54536,55784
20200506,WY,604,11403,12007
20200505,AK,371,22321,22692
20200505,AL,8285,98481,106766
20200505,AR,3496,51139,54635
20200505,AS,0,83,83
20200505,AZ,9305,78955,88260
20200505,CA,56212,723690,779902
20200505,CO,16907,68097,85004
20200505,CT,30621,78022,108643
20200505,DC,5322,19007,24329
20200505,DE,5371,19309,24680
20200505,FL,37439,428252,465691
20200505,GA,29711,171172,200883
20200505,GU,149,3341,3490
20200505,HI,621,33378,33999
20200505,IA,10111,50458,60569
20200505,ID,2106,28202,30308
20200505,IL,65962,280324,346286
20200505,IN,21033,94801,115834
20200505,KS,5458,34634,40092
20200505,KY,5245,54802,60047
20200505,LA,29996,158235,188231
20200505,MA,70271,263078,333349
20200505,MD,27117,112986,140103
20200505,ME,1226,19546,20772
20200505,MI,44397,178439,222836
20200505,MN,7851,80158,88009
20200505,MO,8916,86150,95066
20200505,MP,14,1783,1797
20200505,MS,8207,72101,80308
20200505,MT,456,14816,15272
20200505,NC,12256,139544,151800
20200505,ND,1266,35155,36421
20200505,NE,6083,28526,34609
20200505,NH,2588,24282,26870
20200505,NJ,130593,157030,287623
20200505,NM,4031,77689,81720
20200505,NV,5594,42290,47884
20200505,NY,321192,707707,1028899
20200505,OH,20969,139766,160735
20200505,OK,4127,75290,79417
20200505,OR,2839,62585,65424
20200505,PA,50957,199925,250882
20200505,PR,1924,9313,11237
20200505,RI,9933,66502,76435
20200505,SC,6757,61014,67771
20200505,SD,2721,16301,19022
20200505,TN,13690,205172,218862
20200505,TX,33369,393841,427210
20200505,UT,5449,121266,126715
20200505,VA,20256,93452,113708
20200505,VI,66,973,1039
20200505,VT,907,16611,17518
20200505,WA,15462,200858,216320
20200505,WI,8566,83967,92533
20200505,WV,1238,53585,54823
20200505,WY,596,10319,10915
20200504,AK,370,21353,21723
20200504,AL,8025,95092,103117
20200504,AR,3458,50984,54442
20200504,AS,0,83,83
20200504,AZ,8919,76334,85253
20200504,CA,54937,692937,747874
20200504,CO,16635,66455,83090
20200504,CT,29287,73206,102493
20200504,DC,5170,18625,23795
20200504,DE,5288,18822,24110
20200504,FL,36897,407373,444270
20200504,GA,29368,153957,183325
20200504,GU,149,3242,3391
20200504,HI,620,33246,33866
20200504,IA,9703,47458,57161
20200504,ID,2061,27746,29807
20200504,IL,63840,269307,333147
20200504,IN,20507,92790,113297
20200504,KS,5245,33358,38603
20200504,KY,5130,53279,58409
20200504,LA,29673,151258,180931
20200504,MA,69087,255181,324268
20200504,MD,26408,110587,136995
20200504,ME,1205,19546,20751
20200504,MI,43950,178439,222389
20200504,MN,7234,78707,85941
20200504,MO,8754,82697,91451
20200504,MP,14,1321,1335
20200504,MS,7877,71800,79677
20200504,MT,457,14631,15088
20200504,NC,11848,134591,146439
20200504,ND,1225,33529,34754
20200504,NE,5910,27844,33754
20200504,NH,2588,24282,26870
20200504,NJ,128269,148951,277220
20200504,NM,3850,74127,77977
20200504,NV,5491,40675,46166
20200504,NY,318953,688357,1007310
20200504,OH,20474,134681,155155
20200504,OK,4044,59804,63848
20200504,OR,2759,60698,63457
20200504,PA,50092,195498,245590
20200504,PR,1843,9313,11156
20200504,RI,9652,64484,74136
20200504,SC,6626,57562,64188
20200504,SD,2668,16045,18713
20200504,TN,13571,197872,211443
20200504,TX,32332,375066,407398
20200504,UT,5317,119344,124661
20200504,VA,19492,92801,112293
20200504,VI,66,965,1031
20200504,VT,902,16430,17332
20200504,WA,15185,196820,212005
20200504,WI,8236,80467,88703
20200504,WV,1206,52033,53239
20200504,WY,586,9868,10454
20200503,AK,368,21210,21578
20200503,AL,7725,84775,92500
20200503,AR,3431,49459,52890
20200503,AS,0,57,57
20200503,AZ,8640,72479,81119
20200503,CA,53616,662135,715751
20200503,CO,16225,63681,79906
20200503,CT,29287,73206,102493
20200503,DC,5016,18086,23102
20200503,DE,5208,18529,23737
20200503,FL,36078,392111,428189
20200503,GA,28602,146494,175096
20200503,GU,150,3152,3302
20200503,HI,620,32330,32950
20200503,IA,9169,44017,53186
20200503,ID,2061,27746,29807
20200503,IL,61499,257814,319313
20200503,IN,19933,88926,108859
20200503,KS,5030,31748,36778
20200503,KY,4879,52770,57649
20200503,LA,29340,146820,176160
20200503,MA,68087,246559,314646
20200503,MD,25462,107332,132794
20200503,ME,1185,19546,20731
20200503,MI,43754,168778,212532
20200503,MN,6663,75969,82632
20200503,MO,8386,74590,82976
20200503,MP,14,1321,1335
20200503,MS,7550,70043,77593
20200503,MT,455,14552,15007
20200503,NC,11664,132171,143835
20200503,ND,1191,32162,33353
20200503,NE,5326,25936,31262
20200503,NH,2429,25964,28393
20200503,NJ,126744,148322,275066
20200503,NM,3732,71212,74944
20200503,NV,5426,39843,45269
20200503,NY,316415,669496,985911
20200503,OH,19914,130252,150166
20200503,OK,3972,59804,63776
20200503,OR,2680,59374,62054
20200503,PA,49267,191374,240641
20200503,PR,1808,9313,11121
20200503,RI,9477,62450,71927
20200503,SC,6626,57562,64188
20200503,SD,2631,15786,18417
20200503,TN,13177,191430,204607
20200503,TX,31548,359012,390560
20200503,UT,5175,116927,122102
20200503,VA,18671,89331,108002
20200503,VI,66,951,1017
20200503,VT,897,16057,16954
20200503,WA,15003,192312,207315
20200503,WI,7964,77997,85961
20200503,WV,1191,50447,51638
20200503,WY,579,9640,10219
20200502,AK,365,21034,21399
20200502,AL,7434,84775,92209
20200502,AR,3372,48210,51582
20200502,AS,0,57,57
20200502,AZ,8364,69633,77997
20200502,CA,52197,634606,686803
20200502,CO,15768,61181,76949
20200502,CT,28764,71493,100257
20200502,DC,4797,17207,22004
20200502,DE,5038,18074,23112
20200502,FL,35463,380549,416012
20200502,GA,28306,146494,174800
20200502,GU,148,3040,3188
20200502,HI,619,31366,31985
20200502,IA,8641,37708,46349
20200502,ID,2035,27455,29490
20200502,IL,58505,241391,299896
20200502,IN,19295,84846,104141
20200502,KS,4746,30196,34942
20200502,KY,4879,52770,57649
20200502,LA,29140,143718,172858
20200502,MA,66263,232731,298994
20200502,MD,24473,101049,125522
20200502,ME,1152,19546,20698
20200502,MI,43207,158502,201709
20200502,MN,6228,72779,79007
20200502,MO,8154,74590,82744
20200502,MP,14,934,948
20200502,MS,7441,67034,74475
20200502,MT,455,14180,14635
20200502,NC,11509,127966,139475
20200502,ND,1153,30394,31547
20200502,NE,4838,24510,29348
20200502,NH,2310,22039,24349
20200502,NJ,123717,138595,262312
20200502,NM,3513,67605,71118
20200502,NV,5311,39076,44387
20200502,NY,312977,646094,959071
20200502,OH,19335,126484,145819
20200502,OK,3851,59804,63655
20200502,OR,2635,57501,60136
20200502,PA,48305,187071,235376
20200502,PR,1757,9313,11070
20200502,RI,9289,60639,69928
20200502,SC,6489,55127,61616
20200502,SD,2588,15503,18091
20200502,TN,12661,183615,196276
20200502,TX,30522,350126,380648
20200502,UT,4981,112823,117804
20200502,VA,17731,84365,102096
20200502,VI,66,922,988
20200502,VT,886,15705,16591
20200502,WA,14637,184087,198724
20200502,WI,7660,75570,83230
20200502,WV,1169,47977,49146
20200502,WY,566,9463,10029
20200501,AK,364,19961,20325
20200501,AL,7158,84775,91933
20200501,AR,3321,46355,49676
20200501,AS,0,57,57
20200501,AZ,7962,66917,74879
20200501,CA,50442,604543,654985
20200501,CO,15284,57106,72390
20200501,CT,28764,71493,100257
20200501,DC,4658,16477,21135
20200501,DE,4918,17667,22585
20200501,FL,34728,367971,402699
20200501,GA,27270,141097,168367
20200501,GU,146,2859,3005
20200501,HI,618,30476,31094
20200501,IA,7884,37708,45592
20200501,ID,2015,27210,29225
20200501,IL,56055,228633,284688
20200501,IN,18630,81009,99639
20200501,KS,4449,28585,33034
20200501,KY,4708,51904,56612
20200501,LA,28711,139540,168251
20200501,MA,64311,225325,289636
20200501,MD,23472,97511,120983
20200501,ME,1123,19546,20669
20200501,MI,42356,148149,190505
20200501,MN,5730,69099,74829
20200501,MO,7835,74590,82425
20200501,MP,14,749,763
20200501,MS,7212,64336,71548
20200501,MT,453,13750,14203
20200501,NC,10923,122909,133832
20200501,ND,1107,28418,29525
20200501,NE,4281,23104,27385
20200501,NH,2146,19903,22049
20200501,NJ,121190,135355,256545
20200501,NM,3411,64458,67869
20200501,NV,5227,38368,43595
20200501,NY,308314,619124,927438
20200501,OH,18743,121763,140506
20200501,OK,3748,59804,63552
20200501,OR,2579,55597,58176
20200501,PA,46971,180477,227448
20200501,PR,1575,9313,10888
20200501,RI,8962,57686,66648
20200501,SC,6258,53121,59379
20200501,SD,2525,14838,17363
20200501,TN,11891,174241,186132
20200501,TX,29229,322546,351775
20200501,UT,4828,107730,112558
20200501,VA,16901,88747,105648
20200501,VI,66,811,877
20200501,VT,879,15354,16233
20200501,WA,14327,179654,193981
20200501,WI,7314,72566,79880
20200501,WV,1136,45708,46844
20200501,WY,559,9136,9695
20200430,AK,355,18764,19119
20200430,AL,7019,80177,87196
20200430,AR,3255,45124,48379
20200430,AS,0,3,3
20200430,AZ,7648,64138,71786
20200430,CA,48917,576420,625337
20200430,CO,14758,56301,71059
20200430,CT,27700,69433,97133
20200430,DC,4323,15756,20079
20200430,DE,4734,17086,21820
20200430,FL,33690,348715,382405
20200430,GA,26155,122889,149044
20200430,GU,146,1962,2108
20200430,HI,613,30027,30640
20200430,IA,7145,35522,42667
20200430,ID,1984,26709,28693
20200430,IL,52918,216949,269867
20200430,IN,17835,77163,94998
20200430,KS,4238,27388,31626
20200430,KY,4539,49562,54101
20200430,LA,28001,133308,161309
20200430,MA,62205,213442,275647
20200430,MD,21742,92617,114359
20200430,ME,1095,19546,20641
20200430,MI,41379,138888,180267
20200430,MN,5136,65140,70276
20200430,MO,7562,73125,80687
20200430,MP,14,585,599
20200430,MS,6815,59525,66340
20200430,MT,453,13461,13914
20200430,NC,10509,117527,128036
20200430,ND,1067,26393,27460
20200430,NE,3784,21537,25321
20200430,NH,2054,19867,21921
20200430,NJ,118652,129266,247918
20200430,NM,3213,61872,65085
20200430,NV,4998,36988,41986
20200430,NY,304372,596264,900636
20200430,OH,18027,115863,133890
20200430,OK,3618,59804,63422
20200430,OR,2510,53522,56032
20200430,PA,45763,175602,221365
20200430,PR,1539,9313,10852
20200430,RI,8621,55089,63710
20200430,SC,6095,50417,56512
20200430,SD,2449,14579,17028
20200430,TN,10735,166891,177626
20200430,TX,28087,302213,330300
20200430,UT,4672,103829,108501
20200430,VA,15846,75663,91509
20200430,VI,66,807,873
20200430,VT,866,14786,15652
20200430,WA,14070,173730,187800
20200430,WI,6854,69394,76248
20200430,WV,1118,43423,44541
20200430,WY,544,8902,9446
20200429,AK,355,18764,19119
20200429,AL,6842,73607,80449
20200429,AR,3192,42257,45449
20200429,AS,0,3,3
20200429,AZ,7202,61611,68813
20200429,CA,46500,556639,603139
20200429,CO,14735,54714,69449
20200429,CT,26767,68051,94818
20200429,DC,4106,15123,19229
20200429,DE,4655,16883,21538
20200429,FL,33193,340295,373488
20200429,GA,25572,118367,143939
20200429,GU,145,1702,1847
20200429,HI,609,29009,29618
20200429,IA,6843,34494,41337
20200429,ID,1952,26430,28382
20200429,IL,50355,206312,256667
20200429,IN,17182,74368,91550
20200429,KS,3738,25720,29458
20200429,KY,4375,48036,52411
20200429,LA,27660,128908,156568
20200429,MA,60265,205353,265618
20200429,MD,20849,90080,110929
20200429,ME,1056,19546,20602
20200429,MI,40399,131953,172352
20200429,MN,4644,62100,66744
20200429,MO,7425,69734,77159
20200429,MP,14,210,224
20200429,MS,6569,59525,66094
20200429,MT,451,13077,13528
20200429,NC,9948,108492,118440
20200429,ND,1033,24503,25536
20200429,NE,3374,20257,23631
20200429,NH,2010,18736,20746
20200429,NJ,116264,125054,241318
20200429,NM,2974,58771,61745
20200429,NV,4898,36130,41028
20200429,NY,299691,572790,872481
20200429,OH,17303,111605,128908
20200429,OK,3473,57794,61267
20200429,OR,2446,52026,54472
20200429,PA,44366,170517,214883
20200429,PR,1433,9313,10746
20200429,RI,8247,51918,60165
20200429,SC,5881,48336,54217
20200429,SD,2373,14460,16833
20200429,TN,10366,158183,168549
20200429,TX,27054,287736,314790
20200429,UT,4495,101283,105778
20200429,VA,14961,70979,85940
20200429,VI,62,732,794
20200429,VT,862,14567,15429
20200429,WA,13842,168673,182515
20200429,WI,6520,66630,73150
20200429,WV,1095,41976,43071
20200429,WY,536,8681,9217
20200428,AK,351,16738,17089
20200428,AL,6687,69140,75827
20200428,AR,3111,37560,40671
20200428,AS,0,3,3
20200428,AZ,6948,60490,67438
20200428,CA,45031,532577,577608
20200428,CO,13879,52462,66341
20200428,CT,26312,66433,92745
20200428,DC,3994,14891,18885
20200428,DE,4575,16605,21180
20200428,FL,32846,334029,366875
20200428,GA,24615,115405,140020
20200428,GU,145,1538,1683
20200428,HI,607,28576,29183
20200428,IA,6376,33447,39823
20200428,ID,1917,18135,20052
20200428,IL,48102,194087,242189
20200428,IN,16588,70593,87181
20200428,KS,3491,24599,28090
20200428,KY,4146,44653,48799
20200428,LA,27286,123822,151108
20200428,MA,58302,196198,254500
20200428,MD,20113,87672,107785
20200428,ME,1040,16784,17824
20200428,MI,39262,125543,164805
20200428,MN,4181,59648,63829
20200428,MO,7303,66200,73503
20200428,MP,14,51,65
20200428,MS,6342,58070,64412
20200428,MT,451,12740,13191
20200428,NC,9568,103184,112752
20200428,ND,991,22732,23723
20200428,NE,3358,20247,23605
20200428,NH,1938,18207,20145
20200428,NJ,113856,120503,234359
20200428,NM,2823,55980,58803
20200428,NV,4805,35314,40119
20200428,NY,295106,549888,844994
20200428,OH,16128,106578,122706
20200428,OK,3410,56289,59699
20200428,OR,2354,48844,51198
20200428,PA,43264,165824,209088
20200428,PR,1400,9313,10713
20200428,RI,7926,49767,57693
20200428,SC,5613,46532,52145
20200428,SD,2313,14299,16612
20200428,TN,10052,151876,161928
20200428,TX,26171,274213,300384
20200428,UT,4343,98096,102439
20200428,VA,14339,68959,83298
20200428,VI,59,719,778
20200428,VT,862,14353,15215
20200428,WA,13686,165993,179679
20200428,WI,6289,63535,69824
20200428,WV,1079,41976,43055
20200428,WY,389,8226,8615
20200427,AK,345,15911,16256
20200427,AL,6499,67498,73997
20200427,AR,3017,37440,40457
20200427,AS,0,3,3
20200427,AZ,6716,59827,66543
20200427,CA,43464,509945,553409
20200427,CO,13441,49833,63274
20200427,CT,25269,54542,79811
20200427,DC,3892,14524,18416
20200427,DE,4162,15454,19616
20200427,FL,32138,324325,356463
20200427,GA,23913,103256,127169
20200427,GU,144,1424,1568
20200427,HI,606,28404,29010
20200427,IA,5868,32282,38150
20200427,ID,1897,17998,19895
20200427,IL,45883,181745,227628
20200427,IN,15961,68515,84476
20200427,KS,3328,23839,27167
20200427,KY,4074,44400,48474
20200427,LA,27068,119921,146989
20200427,MA,56462,188425,244887
20200427,MD,19487,85489,104976
20200427,ME,1023,16784,17807
20200427,MI,38210,119550,157760
20200427,MN,3816,57452,61268
20200427,MO,7171,63935,71106
20200427,MP,14,51,65
20200427,MS,6094,57368,63462
20200427,MT,449,12584,13033
20200427,NC,9142,100778,109920
20200427,ND,942,21492,22434
20200427,NE,3028,19335,22363
20200427,NH,1864,17860,19724
20200427,NJ,111188,116587,227775
20200427,NM,2726,53889,56615
20200427,NV,4690,34123,38813
20200427,NY,291996,534099,826095
20200427,OH,15699,103692,119391
20200427,OK,3280,49891,53171
20200427,OR,2354,48844,51198
20200427,PA,42050,161372,203422
20200427,PR,1389,9313,10702
20200427,RI,7708,48177,55885
20200427,SC,5490,45271,50761
20200427,SD,2245,14130,16375
20200427,TN,9918,144484,154402
20200427,TX,25297,265220,290517
20200427,UT,4233,95962,100195
20200427,VA,13535,67144,80679
20200427,VI,59,716,775
20200427,VT,855,14218,15073
20200427,WA,13521,161956,175477
20200427,WI,6081,61311,67392
20200427,WV,1063,41976,43039
20200427,WY,370,7797,8167
20200426,AK,341,15836,16177
20200426,AL,6270,67281,73551
20200426,AR,2941,36528,39469
20200426,AS,0,3,3
20200426,AZ,6526,58285,64811
20200426,CA,42164,483920,526084
20200426,CO,12968,46823,59791
20200426,CT,25269,54542,79811
20200426,DC,3841,14227,18068
20200426,DE,4034,15215,19249
20200426,FL,31528,313085,344613
20200426,GA,23401,99822,123223
20200426,GU,141,1387,1528
20200426,HI,603,27880,28483
20200426,IA,5476,30614,36090
20200426,ID,1887,17678,19565
20200426,IL,43903,171049,214952
20200426,IN,15012,66696,81708
20200426,KS,3174,23053,26227
20200426,KY,3905,42653,46558
20200426,LA,26773,116263,143036
20200426,MA,54938,181162,236100
20200426,MD,18581,78084,96665
20200426,ME,1015,16784,17799
20200426,MI,37778,113228,151006
20200426,MN,3602,55385,58987
20200426,MO,6997,62751,69748
20200426,MP,14,51,65
20200426,MS,5911,54877,60788
20200426,MT,448,12414,12862
20200426,NC,8830,99064,107894
20200426,ND,867,19850,20717
20200426,NE,2732,18496,21228
20200426,NH,1787,16964,18751
20200426,NJ,109038,114106,223144
20200426,NM,2660,51075,53735
20200426,NV,4602,33584,38186
20200426,NY,288045,517305,805350
20200426,OH,15963,100423,116386
20200426,OK,3253,49891,53144
20200426,OR,2311,46653,48964
20200426,PA,41165,157428,198593
20200426,PR,1371,9313,10684
20200426,RI,7439,45964,53403
20200426,SC,5490,45271,50761
20200426,SD,2212,14062,16274
20200426,TN,9667,138554,148221
20200426,TX,24631,251390,276021
20200426,UT,4123,91579,95702
20200426,VA,12970,63630,76600
20200426,VI,57,700,757
20200426,VT,851,13946,14797
20200426,WA,13521,161919,175440
20200426,WI,5911,59235,65146
20200426,WV,1044,38019,39063
20200426,WY,362,7797,8159
20200425,AK,339,15393,15732
20200425,AL,6137,65207,71344
20200425,AR,2829,35224,38053
20200425,AS,0,3,3
20200425,AZ,6280,56228,62508
20200425,CA,41137,464898,506035
20200425,CO,12256,44533,56789
20200425,CT,24582,53020,77602
20200425,DC,3699,13603,17302
20200425,DE,3576,14122,17698
20200425,FL,30839,302260,333099
20200425,GA,22695,96319,119014
20200425,GU,141,1308,1449
20200425,HI,601,27439,28040
20200425,IA,5092,29258,34350
20200425,ID,1870,17491,19361
20200425,IL,41777,159840,201617
20200425,IN,14395,65379,79774
20200425,KS,3056,22143,25199
20200425,KY,3779,41183,44962
20200425,LA,26512,112490,139002
20200425,MA,53348,173497,226845
20200425,MD,17766,71357,89123
20200425,ME,990,16784,17774
20200425,MI,37203,106841,144044
20200425,MN,3446,53151,56597
20200425,MO,6826,60392,67218
20200425,MP,14,51,65
20200425,MS,5718,53239,58957
20200425,MT,445,12052,12497
20200425,NC,8623,96642,105265
20200425,ND,803,18547,19350
20200425,NE,2421,17552,19973
20200425,NH,1720,16007,17727
20200425,NJ,105523,108163,213686
20200425,NM,2521,48989,51510
20200425,NV,4539,32669,37208
20200425,NY,282143,495425,777568
20200425,OH,15587,96396,111983
20200425,OK,3193,49891,53084
20200425,OR,2253,45124,47377
20200425,PA,40049,152886,192935
20200425,PR,1307,9313,10620
20200425,RI,7129,43762,50891
20200425,SC,5253,43761,49014
20200425,SD,2147,13449,15596
20200425,TN,9189,132217,141406
20200425,TX,23773,239043,262816
20200425,UT,3948,86258,90206
20200425,VA,12366,60276,72642
20200425,VI,55,693,748
20200425,VT,843,13839,14682
20200425,WA,13521,161919,175440
20200425,WI,5687,57138,62825
20200425,WV,1020,31946,32966
20200425,WY,349,7797,8146
20200424,AK,339,11942,12281
20200424,AL,5832,46863,52695
20200424,AR,2741,32837,35578
20200424,AS,0,3,3
20200424,AZ,6045,54669,60714
20200424,CA,39254,454919,494173
20200424,CO,11262,41062,52324
20200424,CT,23921,50117,74038
20200424,DC,3528,13005,16533
20200424,DE,3442,13937,17379
20200424,FL,30174,286785,316959
20200424,GA,22147,85029,107176
20200424,GU,141,1233,1374
20200424,HI,596,26291,26887
20200424,IA,4445,27528,31973
20200424,ID,1836,17255,19091
20200424,IL,39658,149974,189632
20200424,IN,13680,61873,75553
20200424,KS,2777,20811,23588
20200424,KY,3481,39363,42844
20200424,LA,26140,111972,138112
20200424,MA,50969,164244,215213
20200424,MD,16616,68100,84716
20200424,ME,965,16784,17749
20200424,MI,36641,99655,136296
20200424,MN,3185,50602,53787
20200424,MO,6625,58582,65207
20200424,MP,14,51,65
20200424,MS,5434,50236,55670
20200424,MT,444,11683,12127
20200424,NC,8052,92532,100584
20200424,ND,748,16701,17449
20200424,NE,2124,16488,18612
20200424,NH,1670,15139,16809
20200424,NJ,102196,103766,205962
20200424,NM,2379,44184,46563
20200424,NV,4398,31794,36192
20200424,NY,271590,459066,730656
20200424,OH,15169,92528,107697
20200424,OK,3121,43019,46140
20200424,OR,2177,43315,45492
20200424,PA,38652,147491,186143
20200424,PR,1276,9313,10589
20200424,RI,6699,40558,47257
20200424,SC,4917,39546,44463
20200424,SD,2040,12784,14824
20200424,TN,8726,122602,131328
20200424,TX,22806,219741,242547
20200424,UT,3782,80915,84697
20200424,VA,11594,57846,69440
20200424,VI,54,642,696
20200424,VT,827,13483,14310
20200424,WA,13297,161533,174830
20200424,WI,5356,54573,59929
20200424,WV,988,28823,29811
20200424,WY,349,7696,8045
20200423,AK,337,11824,12161
20200423,AL,5778,46863,52641
20200423,AR,2465,29125,31590
20200423,AS,0,3,3
20200423,AZ,5769,52928,58697
20200423,CA,37369,444728,482097
20200423,CO,10878,39767,50645
20200423,CT,23100,48397,71497
